year,month,quarter,state,brand,body_type,fuel_type,sale_price
2021,3,1,VIC,Ford,SUV,Diesel,57800.0
2024,8,3,NSW,Mitsubishi,SUV,Petrol,48700.0
2023,7,3,WA,Toyota,SUV,Petrol,51400.0
2023,3,1,NSW,Ford,Sedan,Hybrid,63300.0
2020,6,2,SA,Mazda,SUV,Diesel,39600.0
2020,4,2,WA,Hyundai,SUV,Diesel,39500.0
2019,11,4,VIC,Nissan,Ute,Petrol,37300.0
2024,5,2,QLD,Toyota,Ute,Petrol,45700.0
2023,11,4,QLD,Hyundai,Sedan,Hybrid,39000.0
2023,5,2,WA,Kia,SUV,Hybrid,48200.0
2019,7,3,VIC,Nissan,Sedan,Petrol,30700.0
2024,11,4,QLD,Ford,SUV,Electric,85900.0
2024,5,2,VIC,BYD,Van,Electric,95800.0
2020,11,4,SA,Nissan,Ute,Hybrid,40800.0
2020,3,1,VIC,Hyundai,SUV,Petrol,39800.0
2020,10,4,VIC,Hyundai,SUV,Diesel,40400.0
2021,5,2,QLD,Hyundai,Sedan,Petrol,31000.0
2022,7,3,WA,Isuzu,Sedan,Diesel,72200.0
2022,5,2,VIC,Toyota,Sedan,Petrol,39400.0
2021,5,2,NSW,Hyundai,Hatchback,Petrol,28100.0
2023,9,3,VIC,Tesla,Ute,Electric,160600.0
2020,3,1,ACT,Kia,Sedan,Hybrid,41200.0
2021,6,2,QLD,Ford,Hatchback,Diesel,43000.0
2021,1,1,WA,Kia,Ute,Diesel,37600.0
2022,10,4,NSW,Mazda,Ute,Petrol,43200.0
2024,5,2,VIC,Ford,Van,Petrol,53500.0
2020,8,3,QLD,Kia,SUV,Petrol,32500.0
2022,5,2,WA,Nissan,SUV,Petrol,40000.0
2023,9,3,NSW,Mazda,Hatchback,Diesel,36300.0
2019,11,4,WA,Nissan,Ute,Petrol,34300.0
2023,6,2,VIC,Mitsubishi,Hatchback,Diesel,39400.0
2020,8,3,NSW,Toyota,SUV,Petrol,49900.0
2019,10,4,NSW,Tesla,Sedan,Electric,127200.0
2024,8,3,NSW,Toyota,SUV,Petrol,49800.0
2024,3,1,VIC,Nissan,Sedan,Petrol,36800.0
2024,7,3,NSW,Nissan,SUV,Electric,71200.0
2021,7,3,NSW,Mazda,SUV,Petrol,40300.0
2019,10,4,WA,Mazda,SUV,Petrol,37300.0
2023,12,4,NSW,Hyundai,Ute,Hybrid,46500.0
2022,6,2,NSW,Hyundai,SUV,Electric,59300.0
2020,12,4,VIC,Hyundai,SUV,Diesel,43600.0
2022,7,3,VIC,Hyundai,SUV,Petrol,39600.0
2019,2,1,QLD,Mitsubishi,SUV,Petrol,40400.0
2024,9,3,VIC,Toyota,Van,Electric,75800.0
2021,10,4,QLD,Isuzu,SUV,Diesel,76100.0
2023,10,4,QLD,Isuzu,SUV,Diesel,77000.0
2021,1,1,NSW,Ford,Hatchback,Petrol,41100.0
2022,1,1,NSW,Isuzu,Ute,Petrol,74800.0
2022,3,1,VIC,Mazda,Ute,Petrol,38400.0
2020,3,1,VIC,Toyota,Ute,Diesel,47900.0
2024,1,1,QLD,Mitsubishi,Van,Petrol,41100.0
2023,12,4,VIC,Ford,SUV,Electric,87400.0
2024,7,3,VIC,Kia,Wagon,Petrol,36200.0
2024,4,2,NSW,Nissan,Hatchback,Hybrid,42400.0
2023,10,4,NSW,Nissan,Sedan,Petrol,38100.0
2024,2,1,VIC,Mitsubishi,Ute,Diesel,52400.0
2019,10,4,VIC,BYD,Ute,Electric,98400.0
2020,5,2,VIC,Toyota,SUV,Petrol,44400.0
2019,6,2,NSW,Toyota,SUV,Diesel,49400.0
2021,9,3,QLD,Tesla,Van,Electric,132700.0
2021,4,2,WA,Ford,Sedan,Diesel,50900.0
2021,2,1,NSW,Ford,SUV,Petrol,56600.0
2024,5,2,VIC,Hyundai,Ute,Hybrid,45500.0
2021,3,1,ACT,Mitsubishi,Sedan,Petrol,38800.0
2021,2,1,VIC,Mazda,SUV,Hybrid,51400.0
2022,12,4,VIC,Mitsubishi,Ute,Electric,73300.0
2020,1,1,NSW,Toyota,Ute,Hybrid,55000.0
2024,10,4,QLD,Toyota,SUV,Petrol,46300.0
2019,2,1,NSW,Hyundai,Van,Petrol,35000.0
2024,6,2,SA,Mazda,SUV,Electric,63300.0
2023,8,3,QLD,Nissan,Sedan,Diesel,36600.0
2020,3,1,QLD,Toyota,SUV,Petrol,43900.0
2019,11,4,QLD,Toyota,Sedan,Diesel,42200.0
2024,9,3,VIC,Kia,SUV,Petrol,41400.0
2023,12,4,VIC,Ford,SUV,Hybrid,72700.0
2023,9,3,WA,Toyota,Hatchback,Hybrid,44600.0
2023,2,1,SA,Toyota,SUV,Hybrid,56200.0
2019,8,3,VIC,Nissan,Ute,Petrol,35000.0
2021,10,4,SA,Mitsubishi,Sedan,Petrol,38500.0
2019,11,4,VIC,Hyundai,Wagon,Petrol,33100.0
2024,12,4,VIC,Ford,Sedan,Diesel,52400.0
2023,5,2,VIC,Mazda,SUV,Petrol,45100.0
2021,4,2,NSW,Hyundai,SUV,Petrol,38700.0
2019,10,4,NSW,Mitsubishi,Hatchback,Petrol,35500.0
2021,5,2,NSW,Nissan,Hatchback,Petrol,32400.0
2021,4,2,VIC,Mazda,SUV,Diesel,44200.0
2023,8,3,VIC,Isuzu,Sedan,Diesel,74500.0
2023,4,2,VIC,Toyota,Sedan,Petrol,43000.0
2024,10,4,TAS,Mazda,Van,Hybrid,43500.0
2022,12,4,VIC,Toyota,Van,Hybrid,57000.0
2019,6,2,VIC,Toyota,Wagon,Petrol,41400.0
2023,2,1,NSW,Nissan,Hatchback,Diesel,33400.0
2023,5,2,NSW,Ford,Hatchback,Petrol,45600.0
2023,6,2,QLD,Toyota,SUV,Petrol,49300.0
2023,5,2,VIC,Nissan,Hatchback,Electric,47000.0
2022,12,4,QLD,Nissan,Ute,Electric,57300.0
2022,2,1,NSW,BYD,Van,Electric,99400.0
2022,7,3,VIC,Nissan,Sedan,Diesel,37000.0
2019,4,2,NSW,Mazda,SUV,Diesel,47200.0
2019,8,3,NSW,Isuzu,Sedan,Diesel,62600.0
2019,7,3,NSW,Tesla,Ute,Electric,134300.0
2023,7,3,NSW,Nissan,SUV,Electric,64000.0
2021,9,3,NSW,BYD,SUV,Electric,105300.0
2022,1,1,NSW,Hyundai,Sedan,Diesel,37900.0
2024,10,4,TAS,BYD,SUV,Electric,98200.0
2020,6,2,NSW,Mazda,SUV,Petrol,40700.0
2022,6,2,NSW,Hyundai,SUV,Petrol,41700.0
2023,6,2,NSW,Toyota,Van,Petrol,44500.0
2020,12,4,VIC,Nissan,Ute,Petrol,36700.0
2019,6,2,NSW,Mazda,SUV,Diesel,42100.0
2021,12,4,WA,Kia,Ute,Diesel,35700.0
2020,10,4,ACT,Hyundai,Ute,Hybrid,44400.0
2024,7,3,NSW,Nissan,SUV,Petrol,42700.0
2024,10,4,VIC,Hyundai,SUV,Diesel,43700.0
2023,6,2,NSW,BYD,Sedan,Electric,97300.0
2024,1,1,QLD,Isuzu,Sedan,Petrol,60900.0
2024,3,1,VIC,Ford,Ute,Petrol,59300.0
2020,2,1,NSW,Hyundai,Sedan,Hybrid,40400.0
2024,6,2,NSW,BYD,SUV,Electric,109600.0
2022,8,3,QLD,Nissan,Wagon,Diesel,39200.0
2024,3,1,VIC,BYD,SUV,Electric,109300.0
2024,10,4,NSW,Mazda,Ute,Hybrid,50500.0
2021,8,3,QLD,Nissan,SUV,Petrol,41100.0
2019,8,3,VIC,Hyundai,SUV,Petrol,36800.0
2020,5,2,WA,Kia,Sedan,Diesel,35100.0
2022,8,3,NSW,Isuzu,SUV,Petrol,80800.0
2024,6,2,QLD,Mazda,Sedan,Petrol,34200.0
2024,5,2,QLD,BYD,SUV,Electric,100600.0
2019,9,3,NSW,Mitsubishi,Sedan,Petrol,35900.0
2022,7,3,QLD,Nissan,Ute,Diesel,43500.0
2022,8,3,VIC,Toyota,SUV,Electric,80900.0
2020,1,1,SA,Ford,Hatchback,Diesel,42100.0
2019,11,4,NSW,Isuzu,SUV,Hybrid,82800.0
2021,2,1,QLD,Toyota,SUV,Diesel,48200.0
2024,8,3,VIC,Toyota,Ute,Hybrid,62800.0
2021,12,4,SA,Nissan,Sedan,Petrol,34200.0
2022,9,3,VIC,Mazda,Sedan,Diesel,38500.0
2023,4,2,ACT,Nissan,SUV,Petrol,41800.0
2021,12,4,SA,Toyota,Ute,Diesel,46100.0
2024,10,4,NSW,Hyundai,Sedan,Petrol,33100.0
2024,11,4,WA,BYD,SUV,Electric,114100.0
2021,10,4,TAS,Mitsubishi,SUV,Petrol,41400.0
2022,9,3,NSW,Kia,Hatchback,Electric,45500.0
2021,4,2,VIC,Kia,Sedan,Petrol,31000.0
2021,10,4,VIC,Isuzu,SUV,Hybrid,88300.0
2019,10,4,NSW,Mazda,SUV,Diesel,43200.0
2023,10,4,NSW,Ford,SUV,Petrol,62200.0
2022,9,3,NSW,Toyota,Sedan,Hybrid,53800.0
2019,11,4,NSW,Mitsubishi,Hatchback,Diesel,35900.0
2021,7,3,VIC,Mazda,Sedan,Petrol,34800.0
2024,2,1,NSW,Hyundai,Sedan,Hybrid,40200.0
2020,9,3,WA,Ford,Hatchback,Diesel,41800.0
2020,4,2,QLD,Toyota,Sedan,Petrol,38800.0
2022,8,3,NSW,Toyota,Sedan,Petrol,43000.0
2024,7,3,QLD,Tesla,SUV,Electric,155800.0
2020,7,3,QLD,Ford,Sedan,Petrol,46200.0
2023,8,3,SA,Nissan,Sedan,Petrol,33800.0
2023,1,1,NSW,Tesla,SUV,Electric,162100.0
2020,5,2,NSW,Toyota,Wagon,Petrol,40900.0
2023,2,1,SA,Mitsubishi,Hatchback,Hybrid,42600.0
2021,2,1,SA,Toyota,Ute,Petrol,43400.0
2023,1,1,QLD,BYD,Sedan,Electric,81900.0
2023,5,2,QLD,Nissan,Sedan,Electric,54600.0
2022,2,1,NSW,Kia,SUV,Petrol,38200.0
2019,4,2,VIC,Tesla,SUV,Electric,153300.0
2024,3,1,NSW,Mazda,Ute,Diesel,50800.0
2021,3,1,NSW,Ford,Sedan,Diesel,54100.0
2020,2,1,WA,Nissan,Hatchback,Hybrid,37100.0
2019,6,2,NSW,Toyota,SUV,Petrol,44200.0
2023,2,1,VIC,Mazda,Sedan,Petrol,37700.0
2023,8,3,SA,Ford,Ute,Hybrid,65800.0
2019,8,3,NSW,Tesla,Sedan,Electric,126900.0
2022,12,4,ACT,Hyundai,Hatchback,Petrol,31100.0
2020,5,2,TAS,Nissan,Wagon,Petrol,33800.0
2023,10,4,VIC,Toyota,SUV,Diesel,53500.0
2020,7,3,NSW,Hyundai,SUV,Diesel,39600.0
2023,4,2,NSW,Tesla,SUV,Electric,169200.0
2021,1,1,VIC,Mazda,Ute,Petrol,41800.0
2024,11,4,NSW,Mitsubishi,SUV,Diesel,57900.0
2020,2,1,NSW,Toyota,Ute,Diesel,51400.0
2021,10,4,ACT,Toyota,SUV,Hybrid,64900.0
2019,10,4,NSW,Toyota,Sedan,Petrol,41000.0
2024,4,2,QLD,Nissan,Ute,Petrol,37200.0
2024,1,1,NSW,Kia,Sedan,Diesel,39100.0
2021,8,3,VIC,BYD,Sedan,Electric,83300.0
2023,9,3,SA,Hyundai,SUV,Petrol,36000.0
2024,4,2,NSW,Mitsubishi,Sedan,Hybrid,51100.0
2022,10,4,NSW,Ford,Sedan,Diesel,53200.0
2022,3,1,QLD,Nissan,Sedan,Hybrid,40100.0
2020,2,1,QLD,BYD,Hatchback,Electric,67900.0
2019,5,2,QLD,Tesla,Hatchback,Electric,101300.0
2024,3,1,NSW,Toyota,Hatchback,Hybrid,45000.0
2024,10,4,NSW,Kia,SUV,Electric,62400.0
2023,7,3,SA,Ford,Ute,Petrol,54000.0
2021,11,4,SA,Nissan,SUV,Electric,62000.0
2021,6,2,VIC,Mazda,SUV,Petrol,44000.0
2023,1,1,WA,Mazda,SUV,Hybrid,52700.0
2024,12,4,VIC,Ford,SUV,Diesel,68300.0
2024,8,3,VIC,Mazda,SUV,Hybrid,53400.0
2023,2,1,NSW,Toyota,Sedan,Diesel,45300.0
2023,5,2,VIC,Nissan,Van,Hybrid,48900.0
2019,9,3,VIC,Kia,SUV,Hybrid,43900.0
2020,8,3,NSW,Nissan,Hatchback,Diesel,34700.0
2024,2,1,VIC,Isuzu,SUV,Hybrid,98300.0
2023,9,3,QLD,Mazda,SUV,Petrol,40000.0
2019,5,2,QLD,Kia,Sedan,Petrol,29800.0
2019,10,4,QLD,Toyota,Ute,Hybrid,51800.0
2023,6,2,SA,Nissan,SUV,Hybrid,50700.0
2019,3,1,NSW,Ford,SUV,Petrol,56600.0
2020,3,1,VIC,Hyundai,Sedan,Petrol,30800.0
2022,10,4,QLD,Hyundai,SUV,Petrol,35100.0
2023,8,3,VIC,Ford,Ute,Petrol,53300.0
2023,11,4,VIC,Mazda,Sedan,Diesel,38800.0
2020,10,4,NSW,Hyundai,SUV,Petrol,36700.0
2023,10,4,WA,BYD,Hatchback,Electric,79100.0
2020,12,4,VIC,Isuzu,SUV,Petrol,76400.0
2021,2,1,WA,Hyundai,Ute,Petrol,37900.0
2023,11,4,VIC,Ford,Ute,Diesel,63300.0
2023,12,4,QLD,Nissan,Van,Petrol,34800.0
2024,12,4,WA,Toyota,Sedan,Diesel,46900.0
2023,2,1,QLD,Nissan,Sedan,Electric,54800.0
2023,5,2,VIC,Mazda,SUV,Diesel,46000.0
2019,6,2,VIC,Tesla,Ute,Electric,145300.0
2021,12,4,WA,Kia,Sedan,Diesel,36100.0
2021,2,1,VIC,Kia,Sedan,Hybrid,37500.0
2020,5,2,VIC,Nissan,Hatchback,Petrol,30600.0
2024,7,3,NSW,Toyota,SUV,Petrol,50400.0
2022,10,4,SA,Hyundai,Hatchback,Diesel,30800.0
2024,10,4,NSW,Kia,Hatchback,Diesel,30900.0
2023,8,3,QLD,Isuzu,Sedan,Petrol,59500.0
2024,12,4,VIC,Mazda,Sedan,Petrol,39400.0
2022,7,3,VIC,Isuzu,SUV,Diesel,85800.0
2023,8,3,QLD,Hyundai,Wagon,Petrol,34600.0
2022,12,4,NSW,Mazda,SUV,Electric,67900.0
2020,9,3,VIC,BYD,Sedan,Electric,87200.0
2023,5,2,QLD,Toyota,Ute,Petrol,47600.0
2021,5,2,WA,Kia,Van,Hybrid,43600.0
2019,11,4,NSW,Toyota,Ute,Petrol,47100.0
2023,10,4,WA,Hyundai,Ute,Petrol,39300.0
2020,4,2,QLD,Mitsubishi,SUV,Petrol,43800.0
2024,9,3,WA,Kia,SUV,Electric,61500.0
2024,5,2,VIC,Ford,SUV,Petrol,57000.0
2024,2,1,VIC,Ford,Hatchback,Diesel,47000.0
2021,10,4,SA,Mazda,Ute,Hybrid,47500.0
2019,8,3,WA,Ford,Ute,Diesel,57600.0
2024,7,3,VIC,Nissan,Ute,Petrol,42200.0
2022,8,3,NSW,Isuzu,Sedan,Electric,100600.0
2024,12,4,VIC,Toyota,SUV,Electric,75200.0
2024,3,1,VIC,Toyota,SUV,Petrol,50700.0
2024,4,2,NSW,Nissan,SUV,Diesel,48500.0
2021,5,2,NSW,Kia,Ute,Hybrid,43600.0
2021,6,2,WA,Kia,SUV,Electric,60200.0
2024,1,1,NSW,BYD,Ute,Electric,100800.0
2021,4,2,QLD,Hyundai,Ute,Petrol,34700.0
2020,11,4,NSW,Ford,Sedan,Diesel,51100.0
2022,12,4,VIC,Nissan,SUV,Petrol,44700.0
2024,10,4,NSW,Tesla,SUV,Electric,177100.0
2023,5,2,NSW,Toyota,SUV,Petrol,51300.0
2023,7,3,QLD,Toyota,Ute,Petrol,49100.0
2019,5,2,WA,Mazda,SUV,Petrol,39800.0
2023,1,1,NSW,BYD,Hatchback,Electric,78100.0
2024,11,4,VIC,Mazda,Ute,Diesel,47500.0
2020,7,3,VIC,Toyota,SUV,Petrol,45500.0
2022,8,3,WA,Nissan,Ute,Petrol,40000.0
