year,country_of_birth,visa_subclass,visa_category,settlement_state,processing_days
2015,Germany,491 Skilled Regional,Skilled,SA,212
2022,China,500 Student,Student,NSW,551
2019,Nepal,500 Student,Student,NSW,480
2022,Nepal,189 Skilled Indep,Skilled,SA,360
2024,South Korea,485 Temp Graduate,Temporary,QLD,403
2020,China,189 Skilled Indep,Skilled,QLD,630
2020,Philippines,491 Skilled Regional,Skilled,VIC,706
2015,Malaysia,143 Parent,Family,NSW,144
2017,UK,485 Temp Graduate,Temporary,NSW,427
2019,China,143 Parent,Family,ACT,94
2022,Sri Lanka,190 Skilled Nom,Skilled,QLD,719
2023,NZ,189 Skilled Indep,Skilled,ACT,57
2018,Philippines,500 Student,Student,WA,464
2015,Philippines,482 Temp Skill,Temporary,VIC,197
2017,UK,820 Partner Temp,Family,NSW,666
2023,China,202 Global Special,Humanitarian,NSW,671
2017,China,482 Temp Skill,Temporary,NSW,573
2019,Sri Lanka,189 Skilled Indep,Skilled,NSW,421
2024,NZ,482 Temp Skill,Temporary,VIC,611
2015,Nepal,485 Temp Graduate,Temporary,VIC,683
2021,China,820 Partner Temp,Family,VIC,86
2024,Sri Lanka,500 Student,Student,VIC,566
2017,China,143 Parent,Family,VIC,625
2020,India,801 Partner Perm,Family,ACT,152
2023,Pakistan,189 Skilled Indep,Skilled,VIC,209
2016,India,190 Skilled Nom,Skilled,VIC,184
2020,UK,485 Temp Graduate,Temporary,VIC,289
2022,Philippines,485 Temp Graduate,Temporary,VIC,510
2021,Nepal,820 Partner Temp,Family,VIC,477
2019,China,482 Temp Skill,Temporary,VIC,116
2017,UK,202 Global Special,Humanitarian,NSW,441
2019,NZ,189 Skilled Indep,Skilled,VIC,552
2018,Philippines,801 Partner Perm,Family,VIC,178
2019,Nepal,143 Parent,Family,WA,92
2018,Germany,202 Global Special,Humanitarian,NSW,346
2023,Nepal,500 Student,Student,VIC,239
2022,India,482 Temp Skill,Temporary,VIC,202
2018,Nepal,143 Parent,Family,ACT,537
2021,China,485 Temp Graduate,Temporary,NSW,43
2017,India,485 Temp Graduate,Temporary,QLD,93
2019,China,485 Temp Graduate,Temporary,QLD,524
2018,India,400 Temp Work,Temporary,VIC,709
2021,India,482 Temp Skill,Temporary,NSW,200
2018,China,485 Temp Graduate,Temporary,VIC,73
2019,China,500 Student,Student,QLD,301
2022,Vietnam,143 Parent,Family,QLD,639
2018,India,189 Skilled Indep,Skilled,VIC,433
2023,China,500 Student,Student,QLD,480
2016,India,143 Parent,Family,VIC,318
2022,India,143 Parent,Family,NSW,642
2019,Sri Lanka,485 Temp Graduate,Temporary,NSW,370
2019,Philippines,200 Refugee,Humanitarian,WA,652
2021,Pakistan,500 Student,Student,VIC,567
2020,Vietnam,202 Global Special,Humanitarian,VIC,634
2018,India,482 Temp Skill,Temporary,VIC,398
2015,India,189 Skilled Indep,Skilled,QLD,346
2016,Nepal,189 Skilled Indep,Skilled,VIC,108
2022,China,820 Partner Temp,Family,VIC,240
2020,China,482 Temp Skill,Temporary,NSW,232
2022,Indonesia,485 Temp Graduate,Temporary,NSW,433
2024,China,491 Skilled Regional,Skilled,NSW,248
2022,USA,200 Refugee,Humanitarian,SA,170
2015,Sri Lanka,485 Temp Graduate,Temporary,NSW,622
2018,China,500 Student,Student,VIC,158
2021,India,820 Partner Temp,Family,SA,433
2017,India,500 Student,Student,VIC,375
2024,Pakistan,485 Temp Graduate,Temporary,QLD,665
2024,USA,485 Temp Graduate,Temporary,NSW,625
2023,Nepal,143 Parent,Family,VIC,153
2019,Vietnam,500 Student,Student,NSW,86
2023,Philippines,202 Global Special,Humanitarian,NSW,63
2016,Sri Lanka,189 Skilled Indep,Skilled,VIC,285
2018,India,200 Refugee,Humanitarian,VIC,217
2019,Pakistan,485 Temp Graduate,Temporary,WA,369
2022,China,500 Student,Student,VIC,360
