date,city,month,day_of_year,temp_max,temp_min,temp_range,rainfall_mm,uv_index
2023-01-01,Melbourne,1,1,30.4,21.9,8.5,0.0,4.8
2023-01-02,Melbourne,1,2,25.3,16.4,8.9,0.0,6.5
2023-01-03,Melbourne,1,3,24.7,13.3,11.4,0.0,5.1
2023-01-04,Melbourne,1,4,26.8,17.0,9.8,0.2,5.4
2023-01-05,Melbourne,1,5,27.2,16.3,10.9,0.7,5.0
2023-01-06,Melbourne,1,6,24.4,17.9,6.5,0.0,6.0
2023-01-07,Melbourne,1,7,25.9,17.5,8.4,0.0,6.2
2023-01-08,Melbourne,1,8,24.3,14.7,9.6,0.0,6.7
2023-01-09,Melbourne,1,9,27.8,21.4,6.4,0.0,4.9
2023-01-10,Melbourne,1,10,24.4,16.5,7.9,0.6,6.4
2023-01-11,Melbourne,1,11,26.0,16.6,9.4,0.0,5.5
2023-01-12,Melbourne,1,12,26.0,19.0,7.0,0.0,6.3
2023-01-13,Melbourne,1,13,24.1,13.9,10.2,0.0,6.7
2023-01-14,Melbourne,1,14,28.5,20.1,8.4,0.0,6.4
2023-01-15,Melbourne,1,15,27.8,16.9,10.9,0.0,6.7
2023-01-16,Melbourne,1,16,29.0,21.0,8.0,0.0,6.7
2023-01-17,Melbourne,1,17,28.7,20.5,8.2,0.0,5.0
2023-01-18,Melbourne,1,18,22.0,15.9,6.1,0.0,5.7
2023-01-19,Melbourne,1,19,29.5,21.0,8.5,0.0,5.1
2023-01-20,Melbourne,1,20,27.8,17.0,10.8,0.0,6.3
2023-01-21,Melbourne,1,21,26.8,16.6,10.2,2.6,5.5
2023-01-22,Melbourne,1,22,28.2,19.6,8.6,1.5,6.1
2023-01-23,Melbourne,1,23,21.5,14.2,7.3,0.0,5.4
2023-01-24,Melbourne,1,24,27.9,19.3,8.6,0.6,5.0
2023-01-25,Melbourne,1,25,29.2,17.4,11.8,0.0,5.3
2023-01-26,Melbourne,1,26,23.6,13.7,9.9,0.0,6.5
2023-01-27,Melbourne,1,27,28.2,19.7,8.5,1.3,6.6
2023-01-28,Melbourne,1,28,26.2,15.9,10.3,0.0,5.8
2023-01-29,Melbourne,1,29,24.2,14.9,9.3,0.0,6.7
2023-01-30,Melbourne,1,30,31.1,20.1,11.0,1.4,5.5
2023-01-31,Melbourne,1,31,25.3,13.7,11.6,1.0,6.7
2023-02-01,Melbourne,2,32,26.6,17.0,9.6,0.0,5.9
2023-02-02,Melbourne,2,33,27.1,18.0,9.1,0.0,5.1
2023-02-03,Melbourne,2,34,22.8,15.9,6.9,0.0,6.7
2023-02-04,Melbourne,2,35,25.0,18.7,6.3,0.0,6.3
2023-02-05,Melbourne,2,36,26.0,16.1,9.9,0.5,6.2
2023-02-06,Melbourne,2,37,24.5,15.6,8.9,0.0,5.5
2023-02-07,Melbourne,2,38,29.1,22.8,6.3,0.0,5.4
2023-02-08,Melbourne,2,39,26.0,17.8,8.2,0.1,6.5
2023-02-09,Melbourne,2,40,25.5,19.0,6.5,0.0,6.2
2023-02-10,Melbourne,2,41,24.0,12.2,11.8,2.8,5.1
2023-02-11,Melbourne,2,42,24.1,16.3,7.8,0.0,5.3
2023-02-12,Melbourne,2,43,26.5,18.6,7.9,0.1,5.6
2023-02-13,Melbourne,2,44,26.0,19.6,6.4,0.0,6.2
2023-02-14,Melbourne,2,45,30.1,20.5,9.6,0.0,5.9
2023-02-15,Melbourne,2,46,28.4,17.2,11.2,0.0,5.1
2023-02-16,Melbourne,2,47,26.9,19.5,7.4,0.0,6.6
2023-02-17,Melbourne,2,48,23.6,14.3,9.3,1.7,5.6
2023-02-18,Melbourne,2,49,24.9,17.5,7.4,0.0,5.8
2023-02-19,Melbourne,2,50,25.7,18.6,7.1,0.0,6.1
2023-02-20,Melbourne,2,51,23.4,14.9,8.5,0.0,5.7
2023-02-21,Melbourne,2,52,25.1,19.0,6.1,5.3,6.6
2023-02-22,Melbourne,2,53,26.9,19.1,7.8,0.0,6.0
2023-02-23,Melbourne,2,54,24.9,16.3,8.6,0.7,6.1
2023-02-24,Melbourne,2,55,22.9,14.8,8.1,3.1,5.9
2023-02-25,Melbourne,2,56,22.0,15.9,6.1,0.0,5.8
2023-02-26,Melbourne,2,57,25.1,17.2,7.9,0.0,5.1
2023-02-27,Melbourne,2,58,29.0,21.3,7.7,0.0,6.5
2023-02-28,Melbourne,2,59,24.4,15.2,9.2,0.0,5.0
2023-03-01,Melbourne,3,60,21.0,10.5,10.5,0.0,5.8
2023-03-02,Melbourne,3,61,19.2,7.9,11.3,0.0,5.2
2023-03-03,Melbourne,3,62,20.6,13.3,7.3,0.0,6.3
