customer_id,recency,frequency,monetary,cluster,label
C0001,25,25,6822.97,1,Champion
C0002,28,10,2066.36,0,Lost / Inactive
C0003,285,6,897.91,0,Lost / Inactive
C0004,4,27,5315.48,1,Champion
C0005,23,11,1134.0,0,Lost / Inactive
C0006,19,19,4014.34,1,Champion
C0007,73,13,2796.9,0,Lost / Inactive
C0008,270,4,656.06,0,Lost / Inactive
C0009,70,12,2263.27,0,Lost / Inactive
C0010,70,6,672.64,0,Lost / Inactive
C0011,28,17,5140.98,1,Champion
C0012,674,3,170.54,0,Lost / Inactive
C0013,8,23,5825.63,1,Champion
C0014,18,14,1370.35,0,Lost / Inactive
C0015,31,7,523.71,0,Lost / Inactive
C0016,334,3,220.13,0,Lost / Inactive
C0017,266,7,798.82,0,Lost / Inactive
C0018,541,1,48.69,0,Lost / Inactive
C0019,244,9,948.57,0,Lost / Inactive
C0020,34,5,446.93,0,Lost / Inactive
C0021,83,3,253.38,0,Lost / Inactive
C0022,179,5,891.48,0,Lost / Inactive
C0023,29,9,1739.22,0,Lost / Inactive
C0024,471,1,55.78,0,Lost / Inactive
C0025,423,2,125.22,0,Lost / Inactive
C0026,225,6,736.63,0,Lost / Inactive
C0027,111,4,332.73,0,Lost / Inactive
C0028,66,10,2222.97,0,Lost / Inactive
C0029,24,11,1372.68,0,Lost / Inactive
C0030,87,12,1540.01,0,Lost / Inactive
C0031,24,7,1060.86,0,Lost / Inactive
C0032,61,4,423.02,0,Lost / Inactive
C0033,96,6,449.15,0,Lost / Inactive
C0034,30,7,1056.69,0,Lost / Inactive
C0035,240,6,953.55,0,Lost / Inactive
C0036,228,8,1378.49,0,Lost / Inactive
C0037,383,3,93.65,0,Lost / Inactive
C0038,51,8,1206.39,0,Lost / Inactive
C0039,156,9,1111.98,0,Lost / Inactive
C0040,198,7,1030.08,0,Lost / Inactive
C0041,48,5,323.93,0,Lost / Inactive
C0042,61,4,446.62,0,Lost / Inactive
C0043,650,1,38.77,0,Lost / Inactive
C0044,127,5,829.71,0,Lost / Inactive
C0045,278,1,101.0,0,Lost / Inactive
C0046,36,6,471.71,0,Lost / Inactive
C0047,474,1,58.83,0,Lost / Inactive
C0048,673,1,58.49,0,Lost / Inactive
C0049,143,4,918.24,0,Lost / Inactive
C0050,283,2,154.11,0,Lost / Inactive
C0051,274,6,716.41,0,Lost / Inactive
C0052,39,5,450.56,0,Lost / Inactive
C0053,79,6,914.57,0,Lost / Inactive
C0054,337,3,188.83,0,Lost / Inactive
C0055,18,25,7558.01,1,Champion
C0056,43,3,254.52,0,Lost / Inactive
C0057,44,9,1662.31,0,Lost / Inactive
