customer_id,customer_type,invoice_id,invoice_date,total_amount,product_category
C0001,champion,INV00000,2024-12-06,354.05,Home
C0001,champion,INV00001,2024-11-08,245.34,Electronics
C0001,champion,INV00002,2024-11-04,283.62,Beauty
C0001,champion,INV00003,2024-11-15,376.85,Electronics
C0001,champion,INV00004,2024-09-01,258.14,Apparel
C0001,champion,INV00005,2024-09-02,75.66,Beauty
C0001,champion,INV00006,2024-06-09,158.12,Home
C0001,champion,INV00007,2024-07-12,250.17,Apparel
C0001,champion,INV00008,2024-02-06,76.77,Sports
C0001,champion,INV00009,2024-08-02,312.72,Beauty
C0001,champion,INV00010,2024-06-09,170.09,Apparel
C0001,champion,INV00011,2024-04-19,281.82,Electronics
C0001,champion,INV00012,2024-08-08,290.55,Home
C0001,champion,INV00013,2024-04-16,311.94,Home
C0001,champion,INV00014,2023-12-22,416.96,Electronics
C0001,champion,INV00015,2024-08-08,357.96,Sports
C0001,champion,INV00016,2023-03-23,318.33,Home
C0001,champion,INV00017,2024-05-16,355.2,Apparel
C0001,champion,INV00018,2023-05-10,464.67,Sports
C0001,champion,INV00019,2023-07-31,262.05,Electronics
C0001,champion,INV00020,2023-07-25,279.22,Beauty
C0001,champion,INV00021,2022-11-11,141.93,Electronics
C0001,champion,INV00022,2024-01-11,231.57,Home
C0001,champion,INV00023,2023-10-19,284.69,Electronics
C0001,champion,INV00024,2024-01-29,264.55,Electronics
C0002,loyal,INV00025,2024-12-03,204.61,Apparel
C0002,loyal,INV00026,2024-11-23,241.68,Electronics
C0002,loyal,INV00027,2024-11-09,133.45,Apparel
C0002,loyal,INV00028,2024-09-01,171.87,Home
C0002,loyal,INV00029,2024-10-16,87.51,Beauty
C0002,loyal,INV00030,2024-09-19,311.01,Apparel
C0002,loyal,INV00031,2024-08-17,221.99,Home
C0002,loyal,INV00032,2024-08-20,265.38,Home
C0002,loyal,INV00033,2024-06-02,231.22,Home
C0002,loyal,INV00034,2024-02-01,197.64,Sports
C0003,atrisk,INV00035,2024-03-21,135.38,Apparel
C0003,atrisk,INV00036,2024-02-28,189.52,Beauty
C0003,atrisk,INV00037,2024-02-04,235.93,Apparel
C0003,atrisk,INV00038,2023-11-28,79.07,Electronics
C0003,atrisk,INV00039,2024-01-05,248.01,Beauty
C0003,atrisk,INV00040,2024-01-21,10.0,Electronics
C0004,champion,INV00041,2024-12-27,143.29,Electronics
C0004,champion,INV00042,2024-11-19,165.6,Home
C0004,champion,INV00043,2024-11-01,276.39,Electronics
C0004,champion,INV00044,2024-10-28,181.69,Home
C0004,champion,INV00045,2024-11-09,83.49,Sports
C0004,champion,INV00046,2024-11-22,225.05,Apparel
C0004,champion,INV00047,2024-06-18,143.82,Beauty
C0004,champion,INV00048,2024-09-06,209.96,Apparel
C0004,champion,INV00049,2024-02-27,210.26,Apparel
C0004,champion,INV00050,2024-06-03,217.94,Electronics
C0004,champion,INV00051,2024-03-02,181.88,Beauty
C0004,champion,INV00052,2023-11-27,280.38,Electronics
C0004,champion,INV00053,2024-03-26,255.61,Beauty
C0004,champion,INV00054,2024-08-19,172.79,Beauty
