order_id,vendor_id,product_id,order_date,sla_days,actual_days,quantity,unit_cost,quality_status,delivery_date,total_cost,source_file,days_to_deliver,on_time,defect_flag,week_num
ORD-W01-0000,V008,SKU-0021,2025-01-05,3,4,244,193.08,Pass,2025-01-09,47111.52,week_01_orders.csv,4,False,False,1
ORD-W01-0001,V009,SKU-0017,2025-01-05,5,6,185,79.88,Pass,2025-01-11,14777.8,week_01_orders.csv,6,False,False,1
ORD-W01-0002,V006,SKU-0009,2025-01-02,10,2,382,115.55,Pass,2025-01-04,44140.1,week_01_orders.csv,2,True,False,1
ORD-W01-0003,V006,SKU-0037,2025-01-07,3,11,485,83.21,Pass,2025-01-18,40356.85,week_01_orders.csv,11,False,False,2
ORD-W01-0004,V002,SKU-0034,2025-01-03,3,7,49,51.37,Pass,2025-01-10,2517.13,week_01_orders.csv,7,False,False,1
ORD-W01-0005,V017,SKU-0010,2025-01-05,7,9,187,12.17,Pass,2025-01-14,2275.79,week_01_orders.csv,9,False,False,1
ORD-W01-0006,V004,SKU-0030,2025-01-04,10,5,170,139.77,Pass,2025-01-09,23760.9,week_01_orders.csv,5,True,False,1
ORD-W01-0007,V015,SKU-0029,2025-01-03,5,9,266,16.72,Pass,2025-01-12,4447.52,week_01_orders.csv,9,False,False,1
ORD-W01-0008,V014,SKU-0045,2025-01-03,3,2,349,43.36,Pass,2025-01-05,15132.64,week_01_orders.csv,2,True,False,1
ORD-W01-0009,V013,SKU-0018,2025-01-01,3,7,279,169.01,Pass,2025-01-08,47153.79,week_01_orders.csv,7,False,False,1
ORD-W01-0010,V016,SKU-0049,2025-01-07,5,6,76,198.85,Pass,2025-01-13,15112.6,week_01_orders.csv,6,False,False,2
ORD-W01-0011,V008,SKU-0049,2025-01-04,7,9,285,83.66,Pass,2025-01-13,23843.1,week_01_orders.csv,9,False,False,1
ORD-W01-0012,V002,SKU-0042,2025-01-02,7,5,406,29.26,Pass,2025-01-07,11879.56,week_01_orders.csv,5,True,False,1
ORD-W01-0013,V009,SKU-0012,2025-01-03,5,13,429,151.93,Pass,2025-01-16,65177.97,week_01_orders.csv,13,False,False,1
ORD-W01-0014,V020,SKU-0033,2025-01-06,7,4,363,25.24,Pass,2025-01-10,9162.12,week_01_orders.csv,4,True,False,2
ORD-W01-0015,V011,SKU-0001,2025-01-07,7,2,454,26.92,Defect,2025-01-09,12221.68,week_01_orders.csv,2,True,True,2
ORD-W01-0016,V008,SKU-0010,2025-01-03,10,10,86,87.76,Pending,2025-01-13,7547.36,week_01_orders.csv,10,True,False,1
ORD-W01-0017,V001,SKU-0039,2025-01-07,5,9,347,150.78,Pending,2025-01-16,52320.66,week_01_orders.csv,9,False,False,2
ORD-W01-0018,V012,SKU-0025,2025-01-06,3,9,163,199.78,Pass,2025-01-15,32564.14,week_01_orders.csv,9,False,False,2
ORD-W01-0019,V014,SKU-0029,2025-01-03,5,6,11,19.71,Pass,2025-01-09,216.81,week_01_orders.csv,6,False,False,1
ORD-W01-0020,V019,SKU-0035,2025-01-01,3,7,343,73.82,Pass,2025-01-08,25320.26,week_01_orders.csv,7,False,False,1
ORD-W01-0021,V018,SKU-0025,2025-01-06,7,6,175,121.36,Pass,2025-01-12,21238.0,week_01_orders.csv,6,True,False,2
ORD-W01-0022,V017,SKU-0047,2025-01-04,7,13,145,191.02,Pass,2025-01-17,27697.9,week_01_orders.csv,13,False,False,1
ORD-W01-0023,V015,SKU-0024,2025-01-06,7,4,424,147.09,Pass,2025-01-10,62366.16,week_01_orders.csv,4,True,False,2
ORD-W01-0024,V011,SKU-0050,2025-01-06,7,13,188,51.56,Pass,2025-01-19,9693.28,week_01_orders.csv,13,False,False,2
ORD-W01-0025,V010,SKU-0001,2025-01-02,7,2,467,59.55,Pass,2025-01-04,27809.85,week_01_orders.csv,2,True,False,1
ORD-W01-0026,V013,SKU-0029,2025-01-04,5,10,277,64.06,Pass,2025-01-14,17744.62,week_01_orders.csv,10,False,False,1
ORD-W01-0027,V013,SKU-0018,2025-01-03,10,13,26,130.47,Pass,2025-01-16,3392.22,week_01_orders.csv,13,False,False,1
ORD-W01-0028,V014,SKU-0020,2025-01-06,5,9,157,24.89,Pass,2025-01-15,3907.73,week_01_orders.csv,9,False,False,2
ORD-W01-0029,V010,SKU-0005,2025-01-05,5,4,449,183.71,Pass,2025-01-09,82485.79,week_01_orders.csv,4,True,False,1
ORD-W01-0030,V002,SKU-0028,2025-01-04,10,8,162,168.58,Pending,2025-01-12,27309.96,week_01_orders.csv,8,True,False,1
ORD-W01-0031,V014,SKU-0037,2025-01-03,7,6,175,112.45,Pass,2025-01-09,19678.75,week_01_orders.csv,6,True,False,1
ORD-W01-0032,V019,SKU-0033,2025-01-07,3,13,355,123.81,Pass,2025-01-20,43952.55,week_01_orders.csv,13,False,False,2
ORD-W01-0033,V017,SKU-0028,2025-01-06,5,3,88,38.53,Pass,2025-01-09,3390.64,week_01_orders.csv,3,True,False,2
ORD-W01-0034,V014,SKU-0022,2025-01-03,5,12,173,25.96,Defect,2025-01-15,4491.08,week_01_orders.csv,12,False,True,1
ORD-W01-0035,V019,SKU-0026,2025-01-01,3,12,402,92.03,Defect,2025-01-13,36996.06,week_01_orders.csv,12,False,True,1
ORD-W01-0036,V011,SKU-0035,2025-01-01,7,13,334,113.36,Pass,2025-01-14,37862.24,week_01_orders.csv,13,False,False,1
ORD-W01-0037,V001,SKU-0037,2025-01-02,5,7,400,63.22,Pass,2025-01-09,25288.0,week_01_orders.csv,7,False,False,1
ORD-W01-0038,V011,SKU-0038,2025-01-02,5,4,153,172.83,Pass,2025-01-06,26442.99,week_01_orders.csv,4,True,False,1
ORD-W01-0039,V004,SKU-0048,2025-01-07,5,6,142,56.19,Pass,2025-01-13,7978.98,week_01_orders.csv,6,False,False,2
ORD-W01-0040,V008,SKU-0010,2025-01-01,5,3,231,124.14,Pass,2025-01-04,28676.34,week_01_orders.csv,3,True,False,1
ORD-W01-0041,V019,SKU-0030,2025-01-05,7,4,479,147.24,Defect,2025-01-09,70527.96,week_01_orders.csv,4,True,True,1
ORD-W01-0042,V002,SKU-0033,2025-01-07,5,6,70,106.97,Pass,2025-01-13,7487.9,week_01_orders.csv,6,False,False,2
ORD-W01-0043,V020,SKU-0043,2025-01-07,5,9,61,121.07,Pass,2025-01-16,7385.27,week_01_orders.csv,9,False,False,2
ORD-W01-0044,V014,SKU-0035,2025-01-01,5,8,197,164.76,Pass,2025-01-09,32457.72,week_01_orders.csv,8,False,False,1
ORD-W01-0045,V020,SKU-0029,2025-01-03,5,11,378,132.82,Pass,2025-01-14,50205.96,week_01_orders.csv,11,False,False,1
ORD-W01-0046,V011,SKU-0002,2025-01-02,10,9,175,96.67,Pass,2025-01-11,16917.25,week_01_orders.csv,9,True,False,1
ORD-W01-0047,V003,SKU-0013,2025-01-01,5,11,282,172.93,Pass,2025-01-12,48766.26,week_01_orders.csv,11,False,False,1
