order_id,vendor_id,product_id,order_date,sla_days,actual_days,quantity,unit_cost,quality_status,delivery_date,total_cost
ORD-W10-0000,V011,SKU-0035,24/02/2025,7,5,202,44.58,Pass,01/03/2025,9005.16
ORD-W10-0001,V010,SKU-0007,22/01/2025,7,6,301,169.25,Pass,28/01/2025,50944.25
ORD-W10-0002,V012,SKU-0047,17/01/2025,5,12,467,114.2,Pass,29/01/2025,53331.4
ORD-W10-0003,V010,SKU-0027,03/02/2025,5,12,187,139.2,Pass,15/02/2025,26030.4
ORD-W10-0004,V004,SKU-0030,14/01/2025,5,10,32,179.99,Pass,24/01/2025,5759.68
ORD-W10-0005,V002,SKU-0031,18/02/2025,5,10,26,130.34,Pass,28/02/2025,3388.84
ORD-W10-0006,V004,SKU-0030,08/01/2025,10,9,450,106.57,Pass,17/01/2025,47956.5
ORD-W10-0007,V016,SKU-0009,04/01/2025,7,6,465,22.44,Pass,10/01/2025,10434.6
ORD-W10-0008,V004,SKU-0033,27/01/2025,5,10,300,68.58,Pass,06/02/2025,20574.0
ORD-W10-0009,V003,SKU-0018,03/03/2025,7,10,48,43.11,Pass,13/03/2025,2069.28
ORD-W10-0010,V015,SKU-0009,13/01/2025,7,13,86,39.76,Pass,26/01/2025,3419.36
ORD-W10-0011,V015,SKU-0035,13/01/2025,3,2,360,112.45,Pass,15/01/2025,40482.0
ORD-W10-0012,V011,SKU-0010,15/01/2025,3,3,209,176.51,Pass,18/01/2025,36890.59
ORD-W10-0013,V011,SKU-0032,10/03/2025,3,12,426,168.76,Pending,22/03/2025,71891.76
ORD-W10-0014,V008,SKU-0009,27/02/2025,3,10,341,61.46,Pass,09/03/2025,20957.86
ORD-W10-0015,V013,SKU-0029,14/02/2025,5,5,255,42.18,Pass,19/02/2025,10755.9
ORD-W10-0016,V020,SKU-0024,09/02/2025,5,4,222,124.23,Pass,13/02/2025,27579.06
ORD-W10-0017,V017,SKU-0022,20/01/2025,5,11,251,142.98,Pass,31/01/2025,35887.98
ORD-W10-0018,V003,SKU-0008,30/01/2025,5,7,92,198.12,Pass,06/02/2025,18227.04
ORD-W10-0019,V013,SKU-0021,23/02/2025,5,7,387,72.46,Pass,02/03/2025,28042.02
ORD-W10-0020,V019,SKU-0018,07/02/2025,7,13,162,54.4,Pass,20/02/2025,8812.8
ORD-W10-0021,V013,SKU-0033,18/02/2025,7,5,215,198.38,Pass,23/02/2025,42651.7
ORD-W10-0022,V017,SKU-0035,22/01/2025,5,6,417,34.61,Pass,28/01/2025,14432.37
ORD-W10-0023,V018,SKU-0029,20/02/2025,7,6,379,108.52,Pass,26/02/2025,41129.08
ORD-W10-0024,V006,SKU-0031,11/02/2025,5,10,254,191.02,Pass,21/02/2025,48519.08
ORD-W10-0025,V013,SKU-0001,20/01/2025,10,3,433,56.77,Pass,23/01/2025,24581.41
