job_id,title,company,city,industry,experience_required,exp_level_num,salary_aud,skills,remote_ok,visa_sponsor,posted_year
J0000,Systems Analyst,NAB,Sydney,Property,5+ years,3,126000,"Power BI,SQL,BPMN,Python,Stakeholder Management",0,0,2026
J0001,Business Analyst,PwC,Sydney,Technology,1-3 years,1,89000,"Power BI,SQL,R",0,0,2024
J0002,Senior Data Analyst,Commonwealth Bank,Sydney,Technology,1-3 years,2,110000,"Power BI,SQL,Tableau,BPMN,Looker,R",0,1,2024
J0003,Senior Business Analyst,Deloitte,Brisbane,Finance,3-5 years,2,98000,"Power BI,SQL,Tableau,Jira,Excel,Python,Looker",0,0,2026
J0004,Senior Business Analyst,PwC,Melbourne,Consulting,Graduate/<1yr,2,99000,"Power BI,SQL,DAX,R,Stakeholder Management",0,0,2026
J0005,Data Analyst,Telstra,Sydney,Consulting,3-5 years,2,108000,"R,Excel,DAX,Machine Learning,Power BI,SQL,Jira",1,0,2026
J0006,Senior Business Analyst,Amazon,Perth,Finance,Graduate/<1yr,2,103000,"Power BI,SQL,Looker,Machine Learning,Jira,Tableau,Azure,BPMN",1,0,2024
J0007,Data Analyst,ANZ Bank,Brisbane,Healthcare,5+ years,3,123000,"Power BI,SQL,R,Azure,Stakeholder Management",1,0,2026
J0008,Senior Data Analyst,Amazon,Melbourne,Finance,Graduate/<1yr,2,99000,"Power BI,Looker,AWS",0,0,2024
J0009,Systems Analyst,KPMG,Melbourne,Property,3-5 years,2,109000,"Python,SQL,Agile,DAX,Stakeholder Management,AWS",0,0,2025
J0010,Reporting Analyst,Telstra,Perth,Technology,3-5 years,2,105000,"Tableau,Agile,Stakeholder Management,AWS,Python,Azure,BPMN",0,1,2024
J0011,Data Analyst,Commonwealth Bank,Melbourne,Property,5+ years,3,119000,"Power BI,AWS,SQL",0,0,2026
J0012,Junior Data Analyst,Woolworths,Perth,Finance,3-5 years,1,101000,"Python,Azure,Looker,Power BI,SQL,Machine Learning,Jira",0,0,2024
J0013,Junior Data Analyst,Telstra,Perth,Healthcare,1-3 years,1,83000,"Machine Learning,SQL,Stakeholder Management",0,1,2026
J0014,Data Analyst,PwC,Perth,Consulting,1-3 years,1,79000,"Power BI,SQL,Azure,Jira,Excel,Stakeholder Management",1,0,2024
J0015,Insights Analyst,Deloitte,Perth,Healthcare,5+ years,3,122000,"Power BI,SQL,AWS",0,0,2024
J0016,Business Analyst,PwC,Perth,Consulting,5+ years,3,118000,"Power BI,Excel,Python",0,0,2025
J0017,BI Analyst,NAB,Brisbane,Government,1-3 years,1,86000,"DAX,SQL,BPMN",0,1,2024
J0018,BI Analyst,Deloitte,Sydney,Finance,Graduate/<1yr,0,74000,"R,AWS,SQL,Power BI,Looker,Machine Learning,BPMN,DAX",0,0,2024
J0019,Associate BA,Commonwealth Bank,Brisbane,Technology,3-5 years,2,92000,"Power BI,SQL,Agile,Looker,Azure",0,0,2026
J0020,Systems Analyst,Dept of Health,Sydney,Technology,3-5 years,2,107000,"Power BI,SQL,BPMN,Stakeholder Management,Python,Jira,AWS,Agile",0,0,2024
J0021,BI Analyst,KPMG,Canberra,Finance,5+ years,3,136000,"Jira,SQL,Machine Learning,Stakeholder Management,Power BI,R,AWS",1,0,2026
J0022,Reporting Analyst,Woolworths,Brisbane,Technology,3-5 years,2,95000,"Power BI,SQL,Azure,Excel",1,0,2026
J0023,Business Analyst,KPMG,Melbourne,Energy,5+ years,3,128000,"DAX,SQL,Looker,Jira,Azure,AWS,R,Tableau",0,0,2025
J0024,Data Analyst,KPMG,Adelaide,Retail,Graduate/<1yr,0,78000,"DAX,Power BI,Agile,Python,Machine Learning,Stakeholder Management,R,Azure",1,0,2024
J0025,Business Analyst,Dept of Health,Brisbane,Government,Graduate/<1yr,0,71000,"Python,Stakeholder Management,Tableau,Jira,AWS,SQL",1,0,2024
J0026,Data Analyst,Dept of Health,Remote,Government,3-5 years,2,93000,"Power BI,Jira,SQL,Excel,BPMN,Machine Learning,Stakeholder Management",1,1,2025
J0027,BI Analyst,Telstra,Sydney,Healthcare,3-5 years,2,106000,"BPMN,SQL,DAX",1,0,2026
J0028,BI Analyst,Deloitte,Brisbane,Technology,1-3 years,1,87000,"Power BI,Python,BPMN,Azure,SQL,Looker",0,1,2026
J0029,Systems Analyst,NAB,Melbourne,Healthcare,1-3 years,1,91000,"BPMN,SQL,Tableau,Excel,Python,AWS,Stakeholder Management,Power BI",0,0,2026
J0030,Reporting Analyst,Woolworths,Brisbane,Government,5+ years,3,124000,"Power BI,SQL,Looker,Agile",0,0,2025
J0031,BI Analyst,Dept of Health,Adelaide,Energy,1-3 years,1,71000,"Excel,SQL,BPMN",1,0,2025
J0032,Insights Analyst,Amazon,Melbourne,Property,1-3 years,1,82000,"Jira,SQL,Stakeholder Management",0,0,2026
J0033,Business Analyst,Telstra,Adelaide,Property,Graduate/<1yr,0,68000,"Agile,SQL,Power BI",1,1,2024
J0034,BI Analyst,Amazon,Remote,Government,3-5 years,2,93000,"Power BI,SQL,Machine Learning",1,0,2024
J0035,BI Analyst,Deloitte,Adelaide,Healthcare,3-5 years,2,101000,"Power BI,Agile,Jira,DAX,AWS,SQL,Python",1,0,2025
J0036,Senior Data Analyst,PwC,Remote,Government,5+ years,3,109000,"Jira,SQL,AWS",0,0,2026
J0037,Data Analyst,NAB,Sydney,Technology,1-3 years,1,93000,"Power BI,SQL,Tableau,Machine Learning",1,0,2026
J0038,Senior Business Analyst,Telstra,Brisbane,Retail,3-5 years,2,84000,"Power BI,SQL,Looker",0,0,2026
J0039,Data Analyst,Telstra,Brisbane,Retail,3-5 years,2,103000,"Power BI,Python,Jira",0,0,2025
J0040,Data Analyst,PwC,Sydney,Property,3-5 years,2,106000,"Excel,SQL,Power BI,Tableau,R,Jira",0,1,2025
J0041,Reporting Analyst,PwC,Sydney,Retail,5+ years,3,129000,"Power BI,Python,AWS,Tableau,R",0,0,2026
J0042,Senior Data Analyst,PwC,Melbourne,Finance,3-5 years,2,100000,"Power BI,SQL,Stakeholder Management,DAX",0,0,2025
