order_id,date,supplier,category,warehouse,order_qty,unit_cost,order_value,lead_time_days,expected_lead_days,on_time_delivery,defect_qty,defect_rate
ORD0000,2025-07-13,FreshFarm Co,Produce,Dandenong,122,3.5,409.35,3,2,1,8,0.08
ORD0001,2025-07-26,Pacific Produce,Produce,Dandenong,478,3.5,1655.09,2,2,1,13,0.13
ORD0002,2025-07-05,Pacific Produce,Produce,Laverton,301,3.5,1027.68,3,2,1,5,0.05
ORD0003,2025-11-24,Pacific Produce,Produce,Dandenong,245,3.5,878.97,1,2,1,7,0.07
ORD0004,2025-07-06,Pacific Produce,Produce,Tullamarine,329,3.5,1136.06,4,2,0,16,0.16
ORD0005,2025-08-07,VicGreens,Produce,Laverton,406,3.5,1414.3,1,2,1,4,0.04
ORD0006,2025-10-06,Pacific Produce,Produce,Tullamarine,379,3.5,1284.11,2,2,1,18,0.18
ORD0007,2025-06-17,Pacific Produce,Produce,Dandenong,253,3.5,877.96,3,2,1,12,0.12
ORD0008,2025-07-19,BakeryDirect,Bakery,Tullamarine,449,2.8,1213.67,1,1,1,3,0.03
ORD0009,2025-07-10,ColdChain Dairy,Dairy,Tullamarine,265,4.2,1130.72,1,1,1,6,0.06
ORD0010,2025-09-09,DrinksCo,Beverages,Tullamarine,94,1.9,181.86,4,4,1,2,0.02
ORD0011,2025-10-13,FreshFarm Co,Produce,Tullamarine,264,3.5,920.25,1,2,1,10,0.1
ORD0012,2025-08-16,Aussie Meats,Meat,Dandenong,385,12.0,4561.14,2,2,1,11,0.11
ORD0013,2025-08-16,Pacific Produce,Produce,Dandenong,199,3.5,716.47,3,2,1,12,0.12
ORD0014,2025-10-19,FreshFarm Co,Produce,Tullamarine,297,3.5,1066.3,1,2,1,10,0.1
ORD0015,2025-08-22,FreshFarm Co,Produce,Tullamarine,449,3.5,1620.73,3,2,1,4,0.04
ORD0016,2025-10-21,SeaFresh,Frozen,Laverton,474,6.5,3094.64,4,3,1,4,0.04
ORD0017,2025-06-14,FreshFarm Co,Produce,Dandenong,280,3.5,984.95,1,2,1,3,0.03
ORD0018,2025-07-29,Aussie Meats,Meat,Tullamarine,305,12.0,3829.28,2,2,1,7,0.07
ORD0019,2025-11-27,FreshFarm Co,Produce,Tullamarine,150,3.5,523.05,2,2,1,7,0.07
ORD0020,2025-11-24,Aussie Meats,Meat,Laverton,94,12.0,1130.79,3,2,1,16,0.16
ORD0021,2025-08-09,ColdChain Dairy,Dairy,Tullamarine,210,4.2,925.44,1,1,0,2,0.02
ORD0022,2025-08-18,Aussie Meats,Meat,Tullamarine,364,12.0,4231.56,1,2,0,8,0.08
ORD0023,2025-11-08,FreshFarm Co,Produce,Tullamarine,117,3.5,417.43,1,2,1,5,0.05
ORD0024,2025-10-23,Pacific Produce,Produce,Dandenong,414,3.5,1422.49,3,2,1,8,0.08
ORD0025,2025-10-29,BakeryDirect,Bakery,Dandenong,230,2.8,625.08,1,1,1,2,0.02
ORD0026,2025-10-29,SeaFresh,Frozen,Tullamarine,199,6.5,1334.98,3,3,1,5,0.05
ORD0027,2025-11-22,VicGreens,Produce,Dandenong,207,3.5,725.35,1,2,1,9,0.09
ORD0028,2025-10-12,FreshFarm Co,Produce,Dandenong,66,3.5,241.94,3,2,1,2,0.02
ORD0029,2025-08-26,Pacific Produce,Produce,Tullamarine,240,3.5,866.77,2,2,1,7,0.07
ORD0030,2025-07-07,Pacific Produce,Produce,Tullamarine,317,3.5,1103.38,2,2,1,9,0.09
ORD0031,2025-08-26,Pacific Produce,Produce,Dandenong,176,3.5,633.58,2,2,1,12,0.12
ORD0032,2025-09-12,ColdChain Dairy,Dairy,Tullamarine,493,4.2,2142.43,1,1,0,3,0.03
ORD0033,2025-08-21,BakeryDirect,Bakery,Tullamarine,174,2.8,477.97,1,1,0,3,0.03
ORD0034,2025-08-02,DrinksCo,Beverages,Tullamarine,244,1.9,442.06,5,4,1,2,0.02
ORD0035,2025-10-03,ColdChain Dairy,Dairy,Laverton,287,4.2,1232.64,1,1,1,2,0.02
ORD0036,2025-11-12,FreshFarm Co,Produce,Dandenong,474,3.5,1690.8,1,2,1,7,0.07
ORD0037,2025-10-26,Pacific Produce,Produce,Tullamarine,224,3.5,815.68,1,2,1,16,0.16
ORD0038,2025-07-05,Pacific Produce,Produce,Laverton,130,3.5,445.65,3,2,0,16,0.16
ORD0039,2025-06-03,SnackHouse,Snacks,Tullamarine,284,2.1,582.82,5,5,1,2,0.02
ORD0040,2025-11-10,FreshFarm Co,Produce,Tullamarine,208,3.5,708.79,1,2,1,10,0.1
ORD0041,2025-11-04,FreshFarm Co,Produce,Laverton,213,3.5,755.09,2,2,0,7,0.07
ORD0042,2025-06-12,SeaFresh,Frozen,Dandenong,293,6.5,1941.83,5,3,0,10,0.1
ORD0043,2025-10-15,FreshFarm Co,Produce,Tullamarine,360,3.5,1218.32,1,2,1,8,0.08
ORD0044,2025-06-29,BakeryDirect,Bakery,Tullamarine,290,2.8,814.47,1,1,1,1,0.01
ORD0045,2025-06-08,Pacific Produce,Produce,Laverton,305,3.5,1094.02,3,2,1,5,0.05
ORD0046,2025-09-29,SeaFresh,Frozen,Tullamarine,71,6.5,440.33,3,3,1,11,0.11
ORD0047,2025-11-11,BakeryDirect,Bakery,Tullamarine,276,2.8,776.37,1,1,1,5,0.05
ORD0048,2025-08-06,Aussie Meats,Meat,Dandenong,308,12.0,3819.05,2,2,1,6,0.06
ORD0049,2025-11-04,VicGreens,Produce,Dandenong,390,3.5,1407.03,2,2,1,9,0.09
ORD0050,2025-11-19,VicGreens,Produce,Dandenong,92,3.5,317.38,2,2,1,12,0.12
ORD0051,2025-09-25,BakeryDirect,Bakery,Tullamarine,341,2.8,950.01,1,1,1,3,0.03
ORD0052,2025-08-28,VicGreens,Produce,Tullamarine,393,3.5,1353.83,1,2,1,3,0.03
ORD0053,2025-08-29,FreshFarm Co,Produce,Laverton,102,3.5,364.67,2,2,1,8,0.08
ORD0054,2025-09-17,SeaFresh,Frozen,Tullamarine,112,6.5,756.76,2,3,1,1,0.01
ORD0055,2025-11-30,Pacific Produce,Produce,Tullamarine,166,3.5,558.47,2,2,1,6,0.06
ORD0056,2025-06-27,DrinksCo,Beverages,Tullamarine,269,1.9,526.72,5,4,1,5,0.05
ORD0057,2025-09-06,Pacific Produce,Produce,Dandenong,497,3.5,1710.31,1,2,1,12,0.12
ORD0058,2025-08-05,SnackHouse,Snacks,Laverton,456,2.1,930.87,6,5,1,2,0.02
ORD0059,2025-06-03,Pacific Produce,Produce,Tullamarine,126,3.5,429.92,2,2,1,8,0.08
ORD0060,2025-07-10,Pacific Produce,Produce,Dandenong,186,3.5,650.24,3,2,1,14,0.14
ORD0061,2025-06-03,VicGreens,Produce,Dandenong,313,3.5,1139.11,1,2,1,5,0.05
ORD0062,2025-10-11,SnackHouse,Snacks,Dandenong,289,2.1,606.18,6,5,1,1,0.01
ORD0063,2025-06-26,SeaFresh,Frozen,Laverton,461,6.5,2936.31,5,3,0,4,0.04
ORD0064,2025-09-10,FreshFarm Co,Produce,Tullamarine,52,3.5,186.19,2,2,1,4,0.04
ORD0065,2025-07-22,FreshFarm Co,Produce,Tullamarine,331,3.5,1209.06,2,2,1,11,0.11
ORD0066,2025-08-04,SeaFresh,Frozen,Tullamarine,314,6.5,1962.06,4,3,1,9,0.09
ORD0067,2025-06-10,ColdChain Dairy,Dairy,Laverton,81,4.2,334.67,1,1,1,1,0.01
ORD0068,2025-11-14,GrocerPlus,Snacks,Tullamarine,183,2.1,379.66,6,5,1,5,0.05
ORD0069,2025-11-15,VicGreens,Produce,Dandenong,418,3.5,1529.74,1,2,0,5,0.05
ORD0070,2025-06-17,ColdChain Dairy,Dairy,Tullamarine,227,4.2,936.53,1,1,1,0,0.0
ORD0071,2025-06-01,ColdChain Dairy,Dairy,Tullamarine,478,4.2,2041.5,2,1,1,3,0.03
ORD0072,2025-11-20,VicGreens,Produce,Dandenong,453,3.5,1526.22,2,2,1,7,0.07
ORD0073,2025-10-21,VicGreens,Produce,Tullamarine,471,3.5,1713.2,1,2,1,14,0.14
ORD0074,2025-07-01,DrinksCo,Beverages,Dandenong,372,1.9,672.55,6,4,0,1,0.01
ORD0075,2025-11-15,BakeryDirect,Bakery,Laverton,130,2.8,361.68,1,1,1,2,0.02
ORD0076,2025-11-02,SeaFresh,Frozen,Tullamarine,343,6.5,2202.72,3,3,1,8,0.08
ORD0077,2025-07-19,BakeryDirect,Bakery,Tullamarine,179,2.8,486.58,1,1,1,7,0.07
ORD0078,2025-07-02,VicGreens,Produce,Dandenong,200,3.5,716.35,1,2,1,4,0.04
ORD0079,2025-10-07,Aussie Meats,Meat,Dandenong,378,12.0,4515.35,1,2,1,5,0.05
ORD0080,2025-06-03,Pacific Produce,Produce,Laverton,242,3.5,827.17,3,2,1,10,0.1
ORD0081,2025-07-18,ColdChain Dairy,Dairy,Tullamarine,438,4.2,1827.73,1,1,1,2,0.02
ORD0082,2025-09-21,DrinksCo,Beverages,Tullamarine,377,1.9,716.78,4,4,1,2,0.02
ORD0083,2025-10-16,DrinksCo,Beverages,Laverton,95,1.9,172.99,6,4,0,3,0.03
ORD0084,2025-07-09,FreshFarm Co,Produce,Tullamarine,383,3.5,1353.64,1,2,1,8,0.08
ORD0085,2025-11-11,ColdChain Dairy,Dairy,Tullamarine,51,4.2,217.1,1,1,1,2,0.02
ORD0086,2025-08-03,DrinksCo,Beverages,Laverton,416,1.9,820.07,6,4,0,1,0.01
ORD0087,2025-07-12,VicGreens,Produce,Laverton,426,3.5,1522.09,1,2,1,5,0.05
ORD0088,2025-06-09,GrocerPlus,Snacks,Tullamarine,99,2.1,203.01,7,5,0,3,0.03
ORD0089,2025-08-02,Pacific Produce,Produce,Laverton,305,3.5,1074.54,4,2,0,13,0.13
ORD0090,2025-11-11,FreshFarm Co,Produce,Tullamarine,162,3.5,547.3,2,2,1,8,0.08
ORD0091,2025-08-18,FreshFarm Co,Produce,Tullamarine,260,3.5,944.51,1,2,1,5,0.05
ORD0092,2025-07-07,VicGreens,Produce,Tullamarine,152,3.5,510.76,1,2,1,9,0.09
ORD0093,2025-11-01,BakeryDirect,Bakery,Laverton,154,2.8,445.06,1,1,1,5,0.05
ORD0094,2025-08-01,Pacific Produce,Produce,Dandenong,285,3.5,1004.93,2,2,1,9,0.09
ORD0095,2025-09-03,SeaFresh,Frozen,Tullamarine,342,6.5,2125.01,4,3,1,2,0.02
ORD0096,2025-07-31,SnackHouse,Snacks,Tullamarine,54,2.1,112.07,4,5,0,3,0.03
ORD0097,2025-08-11,FreshFarm Co,Produce,Tullamarine,372,3.5,1306.71,1,2,1,13,0.13
ORD0098,2025-09-12,VicGreens,Produce,Dandenong,426,3.5,1428.52,2,2,1,5,0.05
ORD0099,2025-08-14,ColdChain Dairy,Dairy,Tullamarine,322,4.2,1377.53,1,1,1,3,0.03
ORD0100,2025-11-19,VicGreens,Produce,Laverton,197,3.5,673.52,3,2,1,7,0.07
ORD0101,2025-10-26,BakeryDirect,Bakery,Dandenong,271,2.8,751.02,1,1,1,4,0.04
ORD0102,2025-08-31,Aussie Meats,Meat,Tullamarine,76,12.0,896.61,2,2,1,3,0.03
ORD0103,2025-08-19,FreshFarm Co,Produce,Dandenong,324,3.5,1142.62,1,2,1,6,0.06
ORD0104,2025-06-12,ColdChain Dairy,Dairy,Tullamarine,210,4.2,915.12,1,1,1,6,0.06
ORD0105,2025-07-23,VicGreens,Produce,Tullamarine,421,3.5,1469.25,1,2,1,7,0.07
ORD0106,2025-06-15,FreshFarm Co,Produce,Dandenong,255,3.5,907.86,1,2,1,7,0.07
