week_ending,units_sold
2022-01-03,232
2022-01-10,202
2022-01-17,206
2022-01-24,233
2022-01-31,246
2022-02-07,263
2022-02-14,258
2022-02-21,319
2022-02-28,273
2022-03-07,293
2022-03-14,285
2022-03-21,282
2022-03-28,306
2022-04-04,289
2022-04-11,296
2022-04-18,277
2022-04-25,316
2022-05-02,368
2022-05-09,330
2022-05-16,370
2022-05-23,407
2022-05-30,391
2022-06-06,327
2022-06-13,391
2022-06-20,370
2022-06-27,383
2022-07-04,359
2022-07-11,396
2022-07-18,411
2022-07-25,377
2022-08-01,353
2022-08-08,355
2022-08-15,425
2022-08-22,373
2022-08-29,355
2022-09-05,388
2022-09-12,343
2022-09-19,347
2022-09-26,322
2022-10-03,353
2022-10-10,339
2022-10-17,368
2022-10-24,323
2022-10-31,307
2022-11-07,287
2022-11-14,324
2022-11-21,287
2022-11-28,301
2022-12-05,285
2022-12-12,338
2022-12-19,272
2022-12-26,185
2023-01-02,299
2023-01-09,292
2023-01-16,292
2023-01-23,326
2023-01-30,327
2023-02-06,329
2023-02-13,367
2023-02-20,311
2023-02-27,361
2023-03-06,327
2023-03-13,361
2023-03-20,288
2023-03-27,350
2023-04-03,329
2023-04-10,345
2023-04-17,389
2023-04-24,372
2023-05-01,432
2023-05-08,456
2023-05-15,374
2023-05-22,430
2023-05-29,446
2023-06-05,448
2023-06-12,405
2023-06-19,453
2023-06-26,451
2023-07-03,443
2023-07-10,472
2023-07-17,474
2023-07-24,439
2023-07-31,488
2023-08-07,419
2023-08-14,494
2023-08-21,411
2023-08-28,470
2023-09-04,401
2023-09-11,438
2023-09-18,441
2023-09-25,396
2023-10-02,425
2023-10-09,376
2023-10-16,381
2023-10-23,393
2023-10-30,387
2023-11-06,390
2023-11-13,389
2023-11-20,439
2023-11-27,388
2023-12-04,366
2023-12-11,361
2023-12-18,360
2023-12-25,264
2024-01-01,345
2024-01-08,405
2024-01-15,372
2024-01-22,345
2024-01-29,352
2024-02-05,398
2024-02-12,391
2024-02-19,373
2024-02-26,372
2024-03-04,380
2024-03-11,420
2024-03-18,410
2024-03-25,385
2024-04-01,379
2024-04-08,322
2024-04-15,433
2024-04-22,498
2024-04-29,486
2024-05-06,418
2024-05-13,463
2024-05-20,464
2024-05-27,517
2024-06-03,506
2024-06-10,536
2024-06-17,523
2024-06-24,523
2024-07-01,482
2024-07-08,497
2024-07-15,497
2024-07-22,473
2024-07-29,541
2024-08-05,514
2024-08-12,453
2024-08-19,521
2024-08-26,470
2024-09-02,506
2024-09-09,466
2024-09-16,448
2024-09-23,440
2024-09-30,423
2024-10-07,438
2024-10-14,407
2024-10-21,457
2024-10-28,418
2024-11-04,428
2024-11-11,439
2024-11-18,394
2024-11-25,380
2024-12-02,464
2024-12-09,372
2024-12-16,395
2024-12-23,308
2024-12-30,308
